host_id,host_name,property_type,bedrooms,beds,bathrooms,ratings,neighbourhood,latitude,longitude,room_type,daily_price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
552705,"Amanda (Marz, Nickname)",Townhouse,2.0,2,1.0,4.93,78703,30.282673315905875,-97.76861987810229,Entire home/apt,250,3,15,2023-06-22,0.17,1,150,1
578211,Pete,Bungalow,1.0,1,1.0,4.87,78751,30.3027,-97.72945,Entire home/apt,126,20,101,2023-05-31,0.71,10,288,7
634580,Morrie And Rachel,Home,3.0,3,2.0,4.94,78736,30.24309,-98.0028,Entire home/apt,295,3,88,2023-07-30,0.6,1,332,9
578211,Pete,Bungalow,2.0,3,1.0,4.9,78751,30.30215,-97.73046,Entire home/apt,120,20,90,2023-06-03,0.62,10,305,6
578211,Pete,Bungalow,1.0,1,1.0,4.92,78751,30.30397,-97.73037,Entire home/apt,127,20,98,2023-07-29,0.67,10,337,10
475506,Dan,Guesthouse,1.0,1,1.0,4.9,78705,30.30203,-97.74235,Entire home/apt,129,30,206,2022-11-09,1.57,1,284,1
760426,Lis,Home,4.0,4,3.0,4.82,78704,30.25288,-97.78491,Entire home/apt,999,4,17,2022-06-18,0.12,1,163,0
628942,Marnie,Home,4.0,4,3.0,4.63,78746,30.27767,-97.79126,Entire home/apt,800,3,8,2022-02-22,0.05,1,352,0
835236,Jenny,Home,4.0,4,2.0,4.88,78752,30.33238,-97.71233,Entire home/apt,249,2,371,2023-05-30,2.54,1,169,13
518748,Rachel,Home,2.0,2,1.5,5.0,78704,30.24106,-97.77315,Entire home/apt,130,30,8,2023-08-01,0.15,2,105,3
951551,Lori,Home,4.0,5,2.5,4.95,78704,30.25775,-97.76703,Entire home/apt,750,2,40,2023-03-17,0.31,1,330,2
989596,John,Guesthouse,1.0,2,1.0,4.87,78704,30.24867,-97.74678,Entire home/apt,72,1,979,2023-08-09,6.72,2,229,77
729047,Tracy,Loft,1.0,1,1.0,5.0,78703,30.276272,-97.757103,Private room,200,3,15,2023-03-17,0.23,1,38,1
1018853,Merri Gale & Donald,Home,2.0,2,1.0,4.91,78741,30.24434,-97.73069,Entire home/apt,136,3,206,2023-07-30,1.42,1,78,16
1029071,Suzanne,Home,3.0,3,1.0,4.96,78702,30.263203,-97.699829,Entire home/apt,152,2,158,2023-08-21,1.37,1,166,31
1039968,Megan,Home,3.0,5,2.5,4.89,78704,30.2527,-97.74385,Entire home/apt,485,3,19,2022-12-28,0.15,2,36,9
1109019,Kristi,Condo,1.0,1,1.0,4.97,78704,30.25175,-97.77242,Entire home/apt,67,2,105,2022-10-31,0.72,1,12,5
1129520,Paulette,Home,1.0,1,1.0,4.73,78754,30.36145,-97.64397,Private room,30,28,28,2023-07-20,0.19,1,255,1
1134580,Kalu,Rental unit,0.5,1,1.0,4.88,78704,30.24519,-97.74486,Entire home/apt,250,2,8,2016-10-09,0.06,1,0,0
1157982,Lyon,Home,3.0,3,2.0,4.96,78702,30.25753,-97.7313,Entire home/apt,500,20,53,2017-10-01,0.37,5,230,0
1169129,David And Kristy,Guesthouse,0.5,1,1.0,4.94,78751,30.30732,-97.72782,Entire home/apt,108,60,115,2023-08-13,0.79,4,178,1
51183342,Hunter,Home,3.0,5,2.5,4.89,78704,30.247942,-97.749763,Entire home/apt,394,1,266,2023-08-31,1.9,9,173,29
578211,Pete,Home,2.0,2,1.0,4.94,78751,30.30289,-97.72961,Entire home/apt,165,20,102,2023-08-14,0.72,10,315,4
1250939,Kerry,Home,2.0,2,1.0,4.97,78704,30.252,-97.75628,Entire home/apt,158,1,206,2023-09-04,2.07,4,202,42
1246229,Elizabeth,Guesthouse,1.0,1,1.0,4.61,78702,30.25424,-97.72587,Entire home/apt,49,1,776,2023-09-02,5.52,3,45,113
1208485,Caitlin,Home,2.0,2,1.0,4.83,78702,30.25572,-97.72874,Entire home/apt,201,2,186,2023-08-25,1.33,2,73,27
1327500,Brooks,Home,3.0,3,1.5,4.67,78704,30.23254,-97.75479,Entire home/apt,100,30,94,2021-09-24,0.65,1,0,0
1335409,Eric,Home,2.0,2,2.0,5.0,78703,30.278654098510746,-97.75550842285156,Entire home/apt,525,7,6,2022-10-31,0.04,2,314,1
1418696,Kelsey,Condo,2.0,2,2.0,4.89,78704,30.25367,-97.77253,Entire home/apt,250,3,46,2023-03-19,0.33,1,342,6
746455,Michael,Home,5.0,13,2.5,4.69,78703,30.28332,-97.76272,Entire home/apt,251,1,119,2023-05-21,0.83,5,260,6
1465788,Michelle,Home,3.0,3,2.5,4.9,78702,30.28032,-97.70708,Entire home/apt,350,2,52,2023-05-07,0.37,1,158,3
1471597,Teresa,Rental unit,3.0,3,2.5,4.77,78758,30.36774,-97.7078,Entire home/apt,86,30,30,2022-11-04,0.21,1,0,1
1282837,Joseph,Home,3.0,3,2.0,4.86,78745,30.19037,-97.79003,Entire home/apt,191,30,66,2023-08-26,0.47,2,323,2
167892,Veronica,Guesthouse,1.0,3,1.0,4.88,78704,30.25508,-97.75767,Entire home/apt,135,2,459,2023-09-04,3.26,1,331,40
1566930,Chris,Home,1.0,1,1.0,4.83,78702,30.2733,-97.7269,Private room,81,2,364,2023-07-15,2.57,1,313,27
1568741,Jim O',Guesthouse,1.0,2,1.0,4.82,78745,30.20943,-97.77117,Entire home/apt,80,3,182,2023-05-29,1.29,17,347,12
117233,Paige,Home,5.0,5,3.0,5.0,78702,30.25688,-97.73244,Entire home/apt,695,3,13,2022-03-17,0.1,1,0,0
1626165,Gretchen,Home,2.0,2,1.0,4.89,78704,30.25472,-97.75562,Entire home/apt,400,3,9,2015-03-24,0.06,1,0,0
814883,Kristen,Townhouse,5.0,9,3.5,4.84,78702,30.26585,-97.73328,Entire home/apt,321,1,316,2023-08-15,2.26,13,279,40
1640172,Gary,Home,3.0,3,2.5,4.84,78724,30.28354,-97.64966,Entire home/apt,187,2,200,2023-09-04,1.43,2,230,30
3797734,Leslie And Dylan,Home,3.0,5,2.0,4.8,78702,30.26849,-97.71874,Entire home/apt,240,4,47,2018-03-25,0.34,1,0,0
1654178,Erik,Condo,2.0,2,1.0,4.85,78701,30.26843,-97.74548,Entire home/apt,178,1,361,2019-10-25,2.59,1,0,0
1666874,Brian,Home,5.0,6,2.0,4.75,78704,30.24583,-97.75472,Entire home/apt,799,3,92,2023-09-04,0.66,1,337,17
1665442,Lionel,Guesthouse,1.0,1,1.0,5.0,78756,30.32665061950684,-97.74362182617188,Entire home/apt,7098,30,23,2023-06-01,0.16,1,38,1
1680871,Janet,Home,3.0,3,2.0,5.0,78746,30.30085,-97.80794,Entire home/apt,495,3,7,2022-08-07,0.05,1,346,0
880571,Angel,Home,1.0,1,1.0,4.84,78702,30.27232,-97.72579,Private room,68,2,604,2023-08-27,4.32,6,56,46
1698318,Virginia,Home,5.0,5,3.0,4.84,78703,30.31267,-97.76641,Entire home/apt,256,3,175,2023-08-28,1.32,1,283,15
372962,Kim,Home,1.0,1,1.5,4.91,78704,30.25381,-97.75262,Private room,102,2,171,2023-08-17,1.23,1,46,10
1555683,Patrick,Home,2.0,2,2.0,4.56,78741,30.24026,-97.73338,Entire home/apt,149,3,34,2022-11-01,0.24,1,173,2
531267,Shelley,Home,2.0,2,1.0,4.74,78757,30.33061,-97.72531,Entire home/apt,50,30,24,2023-03-28,0.17,2,38,3
1205884,Luke And Rachel,Home,4.0,6,2.0,4.72,78702,30.26543,-97.71338,Entire home/apt,750,4,124,2019-03-17,0.89,1,0,0
740347,Chris,Bungalow,1.0,1,1.0,4.82,78704,30.24746,-97.75662,Entire home/apt,178,2,198,2023-04-24,1.44,2,15,5
1733004,Julie,Home,2.0,2,1.0,5.0,78704,30.24623,-97.75904,Private room,135,2,94,2023-03-27,0.67,1,81,8
1735494,Steph And Joey,Guesthouse,1.0,1,1.0,4.93,78702,30.25158,-97.73147,Entire home/apt,104,1,369,2023-08-27,2.64,2,154,35
1736662,Teresa,Home,1.0,1,1.0,5.0,78759,30.41633,-97.75228,Private room,44,31,3,2020-02-13,0.05,1,335,0
